都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,360151,149697,210454,44957324316,21333903108,23623421208,2017-03-01
北　海　道,18553,7033,11520,2186457950,966659850,1219798100,2017-03-01
青　　　森,5130,2256,2874,587928336,296080524,291847812,2017-03-01
岩　　　手,3930,1685,2245,462130111,218004734,244125377,2017-03-01
宮　　　城,6917,2837,4080,826303267,396713767,429589500,2017-03-01
秋　　　田,3144,1402,1742,355881119,179364104,176517015,2017-03-01
山　　　形,3114,1320,1794,370185646,178866203,191319443,2017-03-01
福　　　島,5883,2774,3109,723836499,381574194,342262305,2017-03-01
茨　　　城,6922,3094,3828,891040534,460758647,430281887,2017-03-01
栃　　　木,5115,2273,2842,646294987,322075423,324219564,2017-03-01
群　　　馬,4624,2051,2573,571455367,288426857,283028510,2017-03-01
埼　　　玉,18020,8071,9949,2395442600,1222277594,1173165006,2017-03-01
千　　　葉,14584,6445,8139,1938172608,973870900,964301708,2017-03-01
東　　　京,33839,14377,19462,4730677864,2200875247,2529802617,2017-03-01
神　奈　川,22758,10313,12445,3172531067,1634089070,1538441997,2017-03-01
新　　　潟,6225,2598,3627,742061212,350204168,391857044,2017-03-01
富　　　山,2614,989,1625,312223266,130624613,181598653,2017-03-01
石　　　川,3280,1218,2062,393787934,167340393,226447541,2017-03-01
福　　　井,1983,761,1222,234037774,102623242,131414532,2017-03-01
山　　　梨,2099,877,1222,272372696,131437885,140934811,2017-03-01
長　　　野,5870,2474,3396,717589422,342816573,374772849,2017-03-01
岐　　　阜,4944,2048,2896,587338087,279855127,307482960,2017-03-01
静　　　岡,10040,4240,5800,1255420254,601559814,653860440,2017-03-01
愛　　　知,18899,7738,11161,2450795015,1137106095,1313688920,2017-03-01
三　　　重,5603,2331,3272,675020308,325958079,349062229,2017-03-01
滋　　　賀,4452,1793,2659,540287911,253495453,286792458,2017-03-01
京　　　都,7345,2938,4407,912749607,414471145,498278462,2017-03-01
大　　　阪,26814,11030,15784,3415472288,1598360860,1817111428,2017-03-01
兵　　　庫,17087,6962,10125,2116965859,997184028,1119781831,2017-03-01
奈　　　良,3625,1571,2054,448804593,221105726,227698867,2017-03-01
和　歌　山,2922,1198,1724,329908093,159163466,170744627,2017-03-01
鳥　　　取,1809,752,1057,203858605,93674719,110183886,2017-03-01
島　　　根,1916,817,1099,214218631,102139691,112078940,2017-03-01
岡　　　山,5658,2292,3366,668688822,305447813,363241009,2017-03-01
広　　　島,8567,3311,5256,1032478091,455955424,576522667,2017-03-01
山　　　口,3566,1326,2240,421092961,184431441,236661520,2017-03-01
徳　　　島,2208,966,1242,262911728,134348940,128562788,2017-03-01
香　　　川,2867,1157,1710,341433748,160956824,180476924,2017-03-01
愛　　　媛,4022,1642,2380,470254035,222951507,247302528,2017-03-01
高　　　知,2536,1008,1528,287570308,129327768,158242540,2017-03-01
福　　　岡,18041,6992,11049,2176599465,975897572,1200701893,2017-03-01
佐　　　賀,2652,1000,1652,294235158,131218424,163016734,2017-03-01
長　　　崎,4510,1721,2789,500468527,223231024,277237503,2017-03-01
熊　　　本,7089,2727,4362,784867714,351202447,433665267,2017-03-01
大　　　分,4293,1718,2575,473515850,216796660,256719190,2017-03-01
宮　　　崎,3868,1509,2359,435020666,195019072,240001594,2017-03-01
鹿　児　島,5830,2204,3626,637096624,284429013,352667611,2017-03-01
沖　　　縄,4384,1858,2526,489841109,233930988,255910121,2017-03-01
