都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,371577,152322,219255,46991509472,22126595512,24864913960,2017-01-01
北　海　道,18810,6770,12040,2247705878,945767936,1301937942,2017-01-01
青　　　森,4926,2021,2905,573502311,274408308,299094003,2017-01-01
岩　　　手,4140,1809,2331,459803895,232116737,227687158,2017-01-01
宮　　　城,7133,2893,4240,873470587,410795381,462675206,2017-01-01
秋　　　田,3199,1327,1872,351385642,168662224,182723418,2017-01-01
山　　　形,3429,1401,2028,415033092,194401785,220631307,2017-01-01
福　　　島,5736,2523,3213,701434345,351496565,349937780,2017-01-01
茨　　　城,7061,3126,3935,918383593,473095109,445288484,2017-01-01
栃　　　木,5296,2340,2956,656900058,330160093,326739965,2017-01-01
群　　　馬,4846,2187,2659,624762721,326347599,298415122,2017-01-01
埼　　　玉,18616,8210,10406,2407395695,1202550496,1204845199,2017-01-01
千　　　葉,14962,6568,8394,1985615194,989022365,996592829,2017-01-01
東　　　京,35342,15002,20340,5321482042,2492508622,2828973420,2017-01-01
神　奈　川,23023,10312,12711,3281094009,1659493277,1621600732,2017-01-01
新　　　潟,6289,2554,3735,762142658,355736907,406405751,2017-01-01
富　　　山,2682,1005,1677,325877931,140504491,185373440,2017-01-01
石　　　川,3269,1287,1982,410321971,188401343,221920628,2017-01-01
福　　　井,2122,812,1310,233420039,102244269,131175770,2017-01-01
山　　　梨,2156,949,1207,275889684,138037384,137852300,2017-01-01
長　　　野,6022,2395,3627,720268104,329335572,390932532,2017-01-01
岐　　　阜,5112,2150,2962,628089031,304497740,323591291,2017-01-01
静　　　岡,10726,4446,6280,1342121826,634102925,708018901,2017-01-01
愛　　　知,19045,7636,11409,2437618389,1112508453,1325109936,2017-01-01
三　　　重,5709,2388,3321,695874928,334897238,360977690,2017-01-01
滋　　　賀,4573,1800,2773,531543180,247019556,284523624,2017-01-01
京　　　都,7916,3119,4797,1003589607,452277978,551311629,2017-01-01
大　　　阪,27045,11151,15894,3541005623,1676056449,1864949174,2017-01-01
兵　　　庫,17698,7143,10555,2233873670,1053411961,1180461709,2017-01-01
奈　　　良,3856,1640,2216,488608863,239181485,249427378,2017-01-01
和　歌　山,3133,1317,1816,354824851,173775118,181049733,2017-01-01
鳥　　　取,1921,816,1105,209398800,100535061,108863739,2017-01-01
島　　　根,2092,879,1213,224895398,105024401,119870997,2017-01-01
岡　　　山,6171,2480,3691,722128851,335959574,386169277,2017-01-01
広　　　島,9012,3427,5585,1090688255,480472547,610215708,2017-01-01
山　　　口,3625,1390,2235,445987477,202753809,243233668,2017-01-01
徳　　　島,2277,978,1299,271908008,130728537,141179471,2017-01-01
香　　　川,3121,1256,1865,364741856,167288831,197453025,2017-01-01
愛　　　媛,4335,1723,2612,511458231,235942248,275515983,2017-01-01
高　　　知,2673,1067,1606,290842643,132392814,158449829,2017-01-01
福　　　岡,18495,7029,11466,2248814572,1000963154,1247851418,2017-01-01
佐　　　賀,2747,1042,1705,305714370,136790951,168923419,2017-01-01
長　　　崎,4795,1758,3037,515094551,218595611,296498940,2017-01-01
熊　　　本,7451,2811,4640,833214992,370160923,463054069,2017-01-01
大　　　分,4612,1811,2801,555207163,256984566,298222597,2017-01-01
宮　　　崎,4060,1525,2535,455069071,196255548,258813523,2017-01-01
鹿　児　島,6025,2279,3746,665750312,300869845,364880467,2017-01-01
沖　　　縄,4293,1770,2523,477555505,222061726,255493779,2017-01-01
