,,,/男女別_2015,総数（男女別）,総数（男女別）,総数（男女別）,総数（男女別）,総数（男女別）,総数（男女別）,総数（男女別）,総数（男女別）,総数（男女別）,総数（男女別）,総数（男女別）,男,男,男,男,男,男,男,男,男,男,男,女,女,女,女,女,女,女,女,女,女,女
表章項目,時間軸(年次),地域（2015）,/従業上の地位_2015,総数（従業上の地位）,雇用者,雇用者　正規の職員・従業員,雇用者　労働者派遣事業所の派遣社員,雇用者　パート・アルバイト・その他,役員,雇人のある業主,雇人のない業主,家族従業者,家庭内職者,従業上の地位「不詳」,総数（従業上の地位）,雇用者,雇用者　正規の職員・従業員,雇用者　労働者派遣事業所の派遣社員,雇用者　パート・アルバイト・その他,役員,雇人のある業主,雇人のない業主,家族従業者,家庭内職者,従業上の地位「不詳」,総数（従業上の地位）,雇用者,雇用者　正規の職員・従業員,雇用者　労働者派遣事業所の派遣社員,雇用者　パート・アルバイト・その他,役員,雇人のある業主,雇人のない業主,家族従業者,家庭内職者,従業上の地位「不詳」
15歳以上就業者数【人】,2015年,岐阜,,1015916,810358,517033,24895,268430,50668,22487,67359,38570,4324,22150,563354,432553,356371,11887,64295,37894,18937,52102,7886,595,13387,452562,377805,160662,13008,204135,12774,3550,15257,30684,3729,8763
15歳以上就業者数【人】,2015年,静岡,,1865154,1492306,966044,57714,468548,88801,40042,123954,70141,4844,45066,1053967,815684,671159,26787,117738,67035,33340,93934,14455,643,28876,811187,676622,294885,30927,350810,21766,6702,30020,55686,4201,16190
15歳以上就業者数【人】,2015年,愛知,,3668611,2998979,1946869,114012,938098,178191,66106,193027,102809,11004,118495,2120276,1691081,1400331,53974,236776,133454,55024,143531,20264,1073,75849,1548335,1307898,546538,60038,701322,44737,11082,49496,82545,9931,42646
15歳以上就業者数【人】,2015年,三重,,872773,713130,457036,26809,229285,36767,18366,57046,29426,2161,15877,489227,387166,317293,13939,55934,27148,15183,43703,6196,301,9530,383546,325964,139743,12870,173351,9619,3183,13343,23230,1860,6347
15歳以上就業者数【人】,2015年,滋賀,,677976,563100,356750,24606,181744,27014,11907,40928,18592,1590,14845,386246,310346,251160,12711,46475,20781,9982,31748,4108,179,9102,291730,252754,105590,11895,135269,6233,1925,9180,14484,1411,5743
15歳以上就業者数【人】,2015年,京都,,1192645,894405,550123,27106,317176,58427,26328,88543,38798,3799,82345,657032,468598,367790,11449,89359,43683,21906,67854,7650,363,46978,535613,425807,182333,15657,227817,14744,4422,20689,31148,3436,35367
15歳以上就業者数【人】,2015年,大阪,,3777655,2950306,1841812,110512,997982,191583,77917,227529,81217,6599,242504,2108921,1565594,1245064,43225,277305,145413,64625,171538,16194,1090,144467,1668734,1384712,596748,67287,720677,46170,13292,55991,65023,5509,98037
15歳以上就業者数【人】,2015年,兵庫,,2443786,2001002,1269871,69453,661678,114048,51062,151086,63556,3833,59199,1367401,1076156,875611,29949,170596,86312,42226,114336,12733,547,35091,1076385,924846,394260,39504,491082,27736,8836,36750,50823,3286,24108
15歳以上就業者数【人】,2015年,奈良,,590818,475276,302440,13372,159464,29052,14032,40427,19931,1764,10336,331704,255271,207218,5608,42445,22234,12025,31663,4390,230,5891,259114,220005,95222,7764,117019,6818,2007,8764,15541,1534,4445
15歳以上就業者数【人】,2015年,和歌山,,445326,330034,210343,5771,113920,18105,14679,43833,29965,989,7721,244692,173807,142502,2708,28597,13261,12454,34537,6066,97,4470,200634,156227,67841,3063,85323,4844,2225,9296,23899,892,3251
15歳以上就業者数【人】,2015年,鳥取,,280925,218338,147250,3905,67183,12375,5923,24813,13505,736,5235,150742,112252,92186,1675,18391,9088,4780,18873,2691,78,2980,130183,106086,55064,2230,48792,3287,1143,5940,10814,658,2255
15歳以上就業者数【人】,2015年,島根,,342994,268870,182131,5839,80900,15833,7049,30107,15077,576,5482,186962,140134,115110,3037,21987,11824,5607,23290,2971,73,3063,156032,128736,67021,2802,58913,4009,1442,6817,12106,503,2419
15歳以上就業者数【人】,2015年,岡山,,900871,710179,476202,18442,215535,45220,16147,64631,29087,2313,33294,497324,376851,314511,7727,54613,32968,13178,49025,5506,255,19541,403547,333328,161691,10715,160922,12252,2969,15606,23581,2058,13753
15歳以上就業者数【人】,2015年,広島,,1336568,1089915,721670,30968,337277,69868,24646,86391,36134,2773,26841,748782,591446,492208,13738,85500,51494,19716,63267,6282,279,16298,587786,498469,229462,17230,251777,18374,4930,23124,29852,2494,10543
15歳以上就業者数【人】,2015年,山口,,645035,523602,349158,11100,163344,28159,13985,48181,21465,603,9040,356567,280006,233511,5392,41103,20555,10959,35794,3549,60,5644,288468,243596,115647,5708,122241,7604,3026,12387,17916,543,3396
15歳以上就業者数【人】,2015年,徳島,,342906,258425,179267,6589,72569,17261,7958,32293,19402,608,6959,186156,134282,112726,3023,18533,11853,6514,25410,4198,69,3830,156750,124143,66541,3566,54036,5408,1444,6883,15204,539,3129
15歳以上就業者数【人】,2015年,香川,,452644,358372,245032,9171,104169,24311,8617,34450,17027,1037,8830,250242,190431,161528,3579,25324,17488,6927,26811,3208,129,5248,202402,167941,83504,5592,78845,6823,1690,7639,13819,908,3582
15歳以上就業者数【人】,2015年,愛媛,,642741,485847,324131,9976,151740,31432,14425,54911,30713,1286,24127,351417,252861,213057,3976,35828,22800,11890,43228,6157,134,14347,291324,232986,111074,6000,115912,8632,2535,11683,24556,1152,9780
15歳以上就業者数【人】,2015年,高知,,323408,235683,158555,4132,72996,13828,9887,34726,20804,411,8069,169593,116263,94614,1560,20089,9819,7921,26287,4775,50,4478,153815,119420,63941,2572,52907,4009,1966,8439,16029,361,3591
15歳以上就業者数【人】,2015年,福岡,,2254095,1802888,1156823,61267,584798,100760,50428,146671,70873,2259,80216,1223148,935049,758017,25233,151799,74585,41405,110821,15047,228,46013,1030947,867839,398806,36034,432999,26175,9023,35850,55826,2031,34203
15歳以上就業者数【人】,2015年,佐賀,,410237,315401,210139,7492,97770,15344,10676,34101,24560,481,9674,219866,161158,133441,3390,24327,11281,8913,27151,5665,40,5658,190371,154243,76698,4102,73443,4063,1763,6950,18895,441,4016
15歳以上就業者数【人】,2015年,長崎,,644154,500240,334147,9250,156843,25033,16586,53886,33310,464,14635,349353,257727,214055,4587,39085,18396,13545,42834,7981,53,8817,294801,242513,120092,4663,117758,6637,3041,11052,25329,411,5818
15歳以上就業者数【人】,2015年,熊本,,834257,638104,422439,17122,198543,37878,20635,73716,50653,920,12351,443727,322099,265111,7878,49110,26848,17237,58490,12036,85,6932,390530,316005,157328,9244,149433,11030,3398,15226,38617,835,5419
15歳以上就業者数【人】,2015年,大分,,546167,421907,285422,9058,127427,25214,11957,43382,22664,468,20575,299519,220132,186415,4205,29512,18721,9673,34079,4232,42,12640,246648,201775,99007,4853,97915,6493,2284,9303,18432,426,7935
15歳以上就業者数【人】,2015年,宮崎,,519210,395046,262254,9091,123701,21974,14753,47347,31548,566,7976,275313,198485,165458,3772,29255,15820,12353,37453,6561,57,4584,243897,196561,96796,5319,94446,6154,2400,9894,24987,509,3392
15歳以上就業者数【人】,2015年,鹿児島,,753855,584531,380052,9397,195082,33515,17729,71323,36824,840,9093,403712,296662,244597,4044,48021,24085,14605,56427,6631,69,5233,350143,287869,135455,5353,147061,9430,3124,14896,30193,771,3860
15歳以上就業者数【人】,2015年,沖縄,,589634,452051,277117,14323,160611,17743,17146,46011,16774,481,39428,324924,235418,179158,5975,50285,13866,13521,34606,4621,55,22837,264710,216633,97959,8348,110326,3877,3625,11405,12153,426,16591
