統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1642907,1634420,8487,2125317,2113487,11830,16926,17416,2017-10-01
NA,北海道,NA,49280,49216,64,65124,65039,85,433,518,2017-10-01
NA,青森,NA,13654,13629,25,16747,16715,32,107,92,2017-10-01
NA,岩手,NA,6725,6692,33,8572,8529,43,86,94,2017-10-01
NA,宮城,NA,8016,7966,50,10690,10623,67,91,91,2017-10-01
NA,秋田,NA,7264,7250,14,9344,9325,19,63,100,2017-10-01
NA,山形,NA,6278,6223,55,7732,7661,71,106,70,2017-10-01
NA,福島,NA,7721,7660,61,9541,9479,62,91,77,2017-10-01
NA,茨城,NA,21757,21639,118,27643,27485,158,262,199,2017-10-01
NA,栃木,NA,10006,9954,52,12518,12441,77,94,127,2017-10-01
NA,群馬,NA,6304,6260,44,7737,7673,64,65,84,2017-10-01
NA,埼玉,NA,52236,52048,188,69099,68818,281,578,513,2017-10-01
NA,千葉,NA,39402,39235,167,51107,50875,232,456,406,2017-10-01
NA,東京,NA,225726,224642,1084,281948,280414,1534,2276,2289,2017-10-01
NA,神奈川,NA,26546,26441,105,34768,34620,148,327,273,2017-10-01
NA,新潟,NA,7109,7045,64,9012,8922,90,87,98,2017-10-01
NA,富山,NA,1464,1439,25,1707,1672,35,15,23,2017-10-01
NA,石川,NA,2693,2666,27,3127,3095,32,30,41,2017-10-01
NA,福井,NA,3406,3334,72,4182,4093,89,40,49,2017-10-01
NA,山梨,NA,5711,5633,78,7082,6981,101,64,66,2017-10-01
NA,長野,NA,6418,6337,81,7901,7788,113,69,88,2017-10-01
NA,岐阜,NA,4419,4352,67,5473,5395,78,67,54,2017-10-01
NA,静岡,NA,11969,11870,99,14860,14724,136,151,163,2017-10-01
NA,愛知,NA,17916,17772,144,23359,23135,224,230,238,2017-10-01
NA,三重,NA,12735,12655,80,16293,16185,108,121,148,2017-10-01
NA,滋賀,NA,5212,5167,45,7308,7229,79,67,91,2017-10-01
NA,京都,NA,10339,10245,94,14760,14612,148,105,120,2017-10-01
NA,大阪,NA,56671,56470,201,77473,77164,309,549,542,2017-10-01
NA,兵庫,NA,17786,17666,120,23912,23708,204,202,169,2017-10-01
NA,奈良,NA,9600,9535,65,12954,12845,109,71,106,2017-10-01
NA,和歌山,NA,4977,4949,28,6110,6079,31,38,60,2017-10-01
NA,鳥取,NA,5573,5535,38,7308,7253,55,56,71,2017-10-01
NA,島根,NA,4629,4620,9,5910,5895,15,52,62,2017-10-01
NA,岡山,NA,3917,3893,24,4985,4951,34,39,58,2017-10-01
NA,広島,NA,5937,5893,44,7980,7913,67,78,67,2017-10-01
NA,山口,NA,8915,8867,48,11180,11116,64,76,120,2017-10-01
NA,徳島,NA,10725,10684,41,13820,13767,53,76,102,2017-10-01
NA,香川,NA,3454,3429,25,4452,4418,34,40,35,2017-10-01
NA,愛媛,NA,7658,7589,69,9461,9361,100,85,65,2017-10-01
NA,高知,NA,5899,5855,44,7420,7372,48,68,76,2017-10-01
NA,福岡,NA,38748,38589,159,53716,53462,254,263,374,2017-10-01
NA,佐賀,NA,6495,6448,47,7931,7858,73,71,70,2017-10-01
NA,長崎,NA,8023,7992,31,10589,10553,36,70,69,2017-10-01
NA,熊本,NA,7500,7461,39,9520,9465,55,91,86,2017-10-01
NA,大分,NA,9202,9098,104,11424,11288,136,80,85,2017-10-01
NA,宮崎,NA,7438,7401,37,9282,9233,49,85,98,2017-10-01
NA,鹿児島,NA,12190,12079,111,15842,15662,180,100,154,2017-10-01
NA,沖縄,NA,18662,18555,107,24382,24218,164,194,168,2017-10-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-10-01
NA,札幌市,NA,54762,54634,128,73190,73035,155,678,581,2017-10-01
