統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1642273,1633660,8613,2125803,2113781,12022,17097,16292,2017-09-01
NA,北海道,NA,49287,49208,79,65181,65071,110,408,441,2017-09-01
NA,青森,NA,13641,13616,25,16747,16710,37,116,94,2017-09-01
NA,岩手,NA,6719,6680,39,8557,8505,52,89,81,2017-09-01
NA,宮城,NA,8011,7974,37,10693,10643,50,113,87,2017-09-01
NA,秋田,NA,7285,7266,19,9382,9356,26,78,82,2017-09-01
NA,山形,NA,6230,6174,56,7679,7607,72,77,58,2017-09-01
NA,福島,NA,7710,7644,66,9530,9461,69,89,80,2017-09-01
NA,茨城,NA,21692,21568,124,27572,27410,162,293,197,2017-09-01
NA,栃木,NA,10003,9953,50,12521,12444,77,100,91,2017-09-01
NA,群馬,NA,6303,6264,39,7749,7690,59,66,64,2017-09-01
NA,埼玉,NA,52184,52010,174,69026,68776,250,566,526,2017-09-01
NA,千葉,NA,39318,39128,190,51045,50773,272,426,372,2017-09-01
NA,東京,NA,225542,224462,1080,281863,280281,1582,2257,2092,2017-09-01
NA,神奈川,NA,26535,26434,101,34819,34661,158,315,316,2017-09-01
NA,新潟,NA,7091,7035,56,8997,8918,79,81,69,2017-09-01
NA,富山,NA,1467,1445,22,1706,1672,34,20,18,2017-09-01
NA,石川,NA,2691,2662,29,3127,3093,34,28,28,2017-09-01
NA,福井,NA,3402,3334,68,4194,4102,92,41,36,2017-09-01
NA,山梨,NA,5685,5608,77,7062,6968,94,61,38,2017-09-01
NA,長野,NA,6429,6359,70,7943,7842,101,67,80,2017-09-01
NA,岐阜,NA,4395,4335,60,5427,5361,66,51,43,2017-09-01
NA,静岡,NA,11942,11846,96,14835,14702,133,147,123,2017-09-01
NA,愛知,NA,17880,17750,130,23325,23122,203,223,194,2017-09-01
NA,三重,NA,12755,12669,86,16353,16232,121,134,141,2017-09-01
NA,滋賀,NA,5204,5148,56,7294,7206,88,80,59,2017-09-01
NA,京都,NA,10335,10249,86,14775,14631,144,102,101,2017-09-01
NA,大阪,NA,56671,56468,203,77476,77164,312,623,549,2017-09-01
NA,兵庫,NA,17760,17635,125,23880,23681,199,182,176,2017-09-01
NA,奈良,NA,9618,9547,71,12965,12850,115,96,89,2017-09-01
NA,和歌山,NA,4998,4971,27,6136,6106,30,57,59,2017-09-01
NA,鳥取,NA,5576,5533,43,7324,7259,65,70,59,2017-09-01
NA,島根,NA,4635,4623,12,5913,5895,18,43,58,2017-09-01
NA,岡山,NA,3929,3901,28,5013,4974,39,43,51,2017-09-01
NA,広島,NA,5931,5877,54,7974,7897,77,72,72,2017-09-01
NA,山口,NA,8934,8890,44,11213,11156,57,72,95,2017-09-01
NA,徳島,NA,10742,10701,41,13849,13794,55,87,93,2017-09-01
NA,香川,NA,3456,3429,27,4460,4428,32,31,42,2017-09-01
NA,愛媛,NA,7641,7579,62,9432,9348,84,69,68,2017-09-01
NA,高知,NA,5894,5847,47,7404,7356,48,64,63,2017-09-01
NA,福岡,NA,38793,38631,162,53836,53582,254,272,308,2017-09-01
NA,佐賀,NA,6489,6435,54,7933,7848,85,76,65,2017-09-01
NA,長崎,NA,8028,7994,34,10606,10562,44,70,75,2017-09-01
NA,熊本,NA,7507,7466,41,9540,9475,65,96,98,2017-09-01
NA,大分,NA,9204,9104,100,11437,11307,130,95,82,2017-09-01
NA,宮崎,NA,7445,7411,34,9298,9251,47,74,92,2017-09-01
NA,鹿児島,NA,12241,12129,112,15912,15730,182,105,151,2017-09-01
NA,沖縄,NA,18639,18532,107,24367,24208,159,217,171,2017-09-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-01
NA,札幌市,NA,54671,54499,172,73100,72894,206,580,587,2017-09-01
NA,仙台市,NA,13493,13416,77,18062,17945,117,195,149,2017-09-01
NA,さいたま市,NA,15385,15302,83,20185,20053,132,149,167,2017-09-01
NA,千葉市,NA,16606,16377,229,20893,20577,316,287,252,2017-09-01
NA,横浜市,NA,53875,53776,99,70448,70306,142,694,625,2017-09-01
NA,川崎市,NA,24342,24278,64,31673,31585,88,321,308,2017-09-01
NA,相模原市,NA,10113,10075,38,14035,13976,59,113,98,2017-09-01
NA,新潟市,NA,9083,9022,61,11975,11880,95,106,78,2017-09-01
NA,静岡市,NA,7112,7060,52,9112,9045,67,84,60,2017-09-01
NA,浜松市,NA,5729,5656,73,7354,7250,104,73,64,2017-09-01
NA,名古屋市,NA,38635,38414,221,48737,48427,310,535,566,2017-09-01
NA,京都市,NA,32873,32520,353,44620,44120,500,332,350,2017-09-01
NA,大阪市,NA,115489,114703,786,142250,141263,987,1235,1238,2017-09-01
NA,堺市,NA,19265,19215,50,25789,25722,67,189,161,2017-09-01
NA,神戸市,NA,34802,34626,176,46927,46700,227,324,318,2017-09-01
NA,岡山市,NA,10017,9987,30,13424,13388,36,111,98,2017-09-01
NA,広島市,NA,19022,18939,83,25510,25400,110,179,234,2017-09-01
NA,北九州市,NA,18610,18539,71,23546,23465,81,141,158,2017-09-01
NA,福岡市,NA,33639,33522,117,43729,43576,153,411,355,2017-09-01
NA,熊本市,NA,12141,12079,62,15905,15825,80,154,151,2017-09-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-01
NA,旭川市,NA,9993,9957,36,12863,12809,54,83,74,2017-09-01
NA,函館市,NA,9421,9406,15,12066,12051,15,80,75,2017-09-01
NA,青森市,NA,6795,6791,4,8616,8610,6,37,33,2017-09-01
NA,八戸市,NA,3645,3635,10,4580,4569,11,27,19,2017-09-01
NA,盛岡市,NA,3763,3743,20,4780,4755,25,36,34,2017-09-01
NA,秋田市,NA,4292,4285,7,5395,5377,18,34,35,2017-09-01
NA,郡山市,NA,2644,2633,11,3293,3282,11,22,21,2017-09-01
NA,いわき市,NA,3268,3247,21,4260,4237,23,41,39,2017-09-01
NA,宇都宮市,NA,6707,6637,70,8650,8562,88,78,59,2017-09-01
NA,前橋市,NA,3170,3120,50,3897,3830,67,22,33,2017-09-01
NA,高崎市,NA,2858,2836,22,3454,3424,30,23,32,2017-09-01
NA,川越市,NA,3352,3345,7,4438,4428,10,34,32,2017-09-01
NA,越谷市,NA,3029,3012,17,4103,4080,23,32,26,2017-09-01
NA,船橋市,NA,6968,6933,35,8996,8949,47,72,50,2017-09-01
NA,柏市,NA,3487,3484,3,4585,4582,3,42,45,2017-09-01
NA,八王子市,NA,7575,7561,14,9848,9825,23,42,66,2017-09-01
NA,横須賀市,NA,4067,4034,33,5337,5296,41,31,44,2017-09-01
NA,富山市,NA,1624,1618,6,1846,1839,7,27,16,2017-09-01
NA,金沢市,NA,3695,3662,33,4351,4315,36,23,34,2017-09-01
NA,長野市,NA,2563,2547,16,3262,3241,21,25,19,2017-09-01
NA,岐阜市,NA,5319,5276,43,6558,6490,68,41,37,2017-09-01
NA,豊橋市,NA,1797,1789,8,2203,2189,14,9,12,2017-09-01
NA,豊田市,NA,1766,1752,14,2418,2394,24,24,21,2017-09-01
NA,岡崎市,NA,1565,1549,16,2029,2004,25,26,27,2017-09-01
NA,大津市,NA,3108,3087,21,4150,4121,29,29,36,2017-09-01
NA,高槻市,NA,4233,4221,12,6082,6065,17,41,28,2017-09-01
NA,東大阪市,NA,14600,14529,71,19618,19518,100,115,132,2017-09-01
NA,豊中市,NA,7710,7678,32,10301,10244,57,71,51,2017-09-01
NA,枚方市,NA,5768,5740,28,7969,7927,42,59,60,2017-09-01
NA,姫路市,NA,6856,6836,20,8855,8829,26,75,75,2017-09-01
NA,西宮市,NA,5956,5896,60,8139,8047,92,44,35,2017-09-01
NA,尼崎市,NA,13918,13886,32,18250,18211,39,106,100,2017-09-01
NA,奈良市,NA,5494,5396,98,7608,7464,144,40,39,2017-09-01
NA,和歌山市,NA,7718,7703,15,9285,9265,20,72,61,2017-09-01
NA,倉敷市,NA,5263,5249,14,7294,7276,18,52,41,2017-09-01
NA,福山市,NA,4907,4896,11,6527,6514,13,47,34,2017-09-01
NA,呉市,NA,2940,2921,19,3752,3728,24,20,24,2017-09-01
NA,下関市,NA,3450,3433,17,4359,4336,23,26,30,2017-09-01
NA,高松市,NA,4807,4758,49,6124,6062,62,39,49,2017-09-01
NA,松山市,NA,9939,9920,19,12329,12303,26,64,60,2017-09-01
NA,高知市,NA,9252,9190,62,12087,11994,93,76,63,2017-09-01
NA,久留米市,NA,5213,5209,4,6795,6791,4,45,30,2017-09-01
NA,長崎市,NA,9595,9549,46,12927,12854,73,54,64,2017-09-01
NA,佐世保市,NA,4199,4180,19,5507,5469,38,37,43,2017-09-01
NA,大分市,NA,6932,6897,35,8665,8622,43,68,58,2017-09-01
NA,宮崎市,NA,6921,6899,22,8844,8820,24,69,62,2017-09-01
NA,鹿児島市,NA,11762,11621,141,15329,15163,166,104,101,2017-09-01
NA,那覇市,NA,9600,9585,15,12535,12515,20,78,89,2017-09-01
