統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1638944,1630857,8087,2141881,2130842,11039,16943,17168,2017-02-01
NA,北海道,NA,49852,49792,60,66728,66657,71,398,409,2017-02-01
NA,青森,NA,13592,13582,10,16829,16818,11,112,93,2017-02-01
NA,岩手,NA,6715,6673,42,8676,8614,62,66,68,2017-02-01
NA,宮城,NA,7829,7794,35,10477,10426,51,108,94,2017-02-01
NA,秋田,NA,7326,7306,20,9523,9501,22,51,58,2017-02-01
NA,山形,NA,6180,6140,40,7672,7613,59,75,58,2017-02-01
NA,福島,NA,7610,7536,74,9437,9360,77,87,84,2017-02-01
NA,茨城,NA,21246,21126,120,27165,27013,152,258,225,2017-02-01
NA,栃木,NA,10055,9999,56,12787,12708,79,115,101,2017-02-01
NA,群馬,NA,6249,6206,43,7754,7699,55,69,65,2017-02-01
NA,埼玉,NA,51596,51411,185,69068,68807,261,591,514,2017-02-01
NA,千葉,NA,38728,38567,161,50664,50435,229,498,408,2017-02-01
NA,東京,NA,224798,223731,1067,282858,281414,1444,2200,2350,2017-02-01
NA,神奈川,NA,26255,26155,100,34911,34767,144,321,274,2017-02-01
NA,新潟,NA,7118,7071,47,9136,9068,68,83,89,2017-02-01
NA,富山,NA,1501,1483,18,1749,1723,26,17,22,2017-02-01
NA,石川,NA,2709,2686,23,3153,3124,29,29,31,2017-02-01
NA,福井,NA,3354,3306,48,4176,4117,59,45,47,2017-02-01
NA,山梨,NA,5615,5550,65,7031,6946,85,67,60,2017-02-01
NA,長野,NA,6530,6468,62,8181,8100,81,87,79,2017-02-01
NA,岐阜,NA,4380,4317,63,5458,5380,78,40,52,2017-02-01
NA,静岡,NA,11737,11658,79,14676,14572,104,163,141,2017-02-01
NA,愛知,NA,17742,17643,99,23415,23266,149,208,215,2017-02-01
NA,三重,NA,12832,12739,93,16606,16477,129,121,160,2017-02-01
NA,滋賀,NA,5212,5177,35,7430,7379,51,57,53,2017-02-01
NA,京都,NA,10340,10263,77,15020,14901,119,112,92,2017-02-01
NA,大阪,NA,56624,56409,215,78479,78103,376,481,578,2017-02-01
NA,兵庫,NA,17610,17487,123,23881,23705,176,182,165,2017-02-01
NA,奈良,NA,9592,9522,70,13057,12955,102,82,94,2017-02-01
NA,和歌山,NA,4970,4935,35,6140,6091,49,40,55,2017-02-01
NA,鳥取,NA,5626,5591,35,7476,7437,39,49,58,2017-02-01
NA,島根,NA,4653,4641,12,5972,5959,13,48,55,2017-02-01
NA,岡山,NA,3992,3972,20,5133,5104,29,50,40,2017-02-01
NA,広島,NA,5957,5908,49,8118,8050,68,71,67,2017-02-01
NA,山口,NA,8994,8954,40,11376,11320,56,76,96,2017-02-01
NA,徳島,NA,10798,10774,24,14007,13974,33,72,102,2017-02-01
NA,香川,NA,3452,3421,31,4471,4429,42,33,44,2017-02-01
NA,愛媛,NA,7668,7615,53,9508,9447,61,98,84,2017-02-01
NA,高知,NA,5925,5882,43,7536,7474,62,55,79,2017-02-01
NA,福岡,NA,39027,38889,138,54781,54563,218,264,341,2017-02-01
NA,佐賀,NA,6468,6397,71,7962,7875,87,80,66,2017-02-01
NA,長崎,NA,8100,8056,44,10827,10777,50,58,85,2017-02-01
NA,熊本,NA,7483,7442,41,9583,9533,50,82,94,2017-02-01
NA,大分,NA,9235,9132,103,11549,11420,129,80,80,2017-02-01
NA,宮崎,NA,7494,7460,34,9462,9414,48,87,90,2017-02-01
NA,鹿児島,NA,12359,12243,116,16216,16048,168,134,146,2017-02-01
NA,沖縄,NA,18349,18265,84,24282,24154,128,181,165,2017-02-01
