統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1637405,1629695,7710,2131676,2121166,10510,16618,15916,2017-04-01
NA,北海道,NA,49791,49739,52,66316,66249,67,433,540,2017-04-01
NA,青森,NA,13607,13591,16,16791,16773,18,108,91,2017-04-01
NA,岩手,NA,6711,6674,37,8633,8579,54,66,81,2017-04-01
NA,宮城,NA,7866,7836,30,10489,10449,40,120,64,2017-04-01
NA,秋田,NA,7310,7296,14,9483,9468,15,57,72,2017-04-01
NA,山形,NA,6208,6160,48,7680,7620,60,77,61,2017-04-01
NA,福島,NA,7639,7571,68,9456,9385,71,85,85,2017-04-01
NA,茨城,NA,21291,21193,98,27168,27052,116,243,184,2017-04-01
NA,栃木,NA,10052,9996,56,12709,12617,92,99,86,2017-04-01
NA,群馬,NA,6257,6217,40,7746,7690,56,60,50,2017-04-01
NA,埼玉,NA,51722,51575,147,68888,68685,203,592,455,2017-04-01
NA,千葉,NA,38840,38662,178,50654,50399,255,479,330,2017-04-01
NA,東京,NA,224616,223614,1002,282027,280633,1394,2271,2023,2017-04-01
NA,神奈川,NA,26310,26205,105,34882,34726,156,317,261,2017-04-01
NA,新潟,NA,7083,7044,39,9043,8987,56,70,84,2017-04-01
NA,富山,NA,1487,1468,19,1739,1710,29,15,20,2017-04-01
NA,石川,NA,2697,2668,29,3132,3101,31,19,17,2017-04-01
NA,福井,NA,3362,3324,38,4158,4106,52,45,29,2017-04-01
NA,山梨,NA,5609,5538,71,7000,6893,107,48,48,2017-04-01
NA,長野,NA,6493,6435,58,8073,7995,78,54,88,2017-04-01
NA,岐阜,NA,4371,4314,57,5418,5356,62,52,53,2017-04-01
NA,静岡,NA,11766,11686,80,14655,14548,107,153,128,2017-04-01
NA,愛知,NA,17731,17612,119,23324,23150,174,215,188,2017-04-01
NA,三重,NA,12797,12712,85,16521,16409,112,133,131,2017-04-01
NA,滋賀,NA,5189,5158,31,7320,7274,46,61,74,2017-04-01
