統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1640519,1632313,8206,2128659,2117248,11411,17778,16877,2017-06-01
NA,北海道,NA,49572,49494,78,65761,65666,95,398,496,2017-06-01
NA,青森,NA,13636,13613,23,16773,16746,27,112,103,2017-06-01
NA,岩手,NA,6706,6669,37,8571,8522,49,69,89,2017-06-01
NA,宮城,NA,7924,7888,36,10563,10520,43,118,88,2017-06-01
NA,秋田,NA,7284,7264,20,9397,9366,31,69,66,2017-06-01
NA,山形,NA,6214,6154,60,7667,7586,81,74,67,2017-06-01
NA,福島,NA,7674,7608,66,9484,9417,67,94,70,2017-06-01
NA,茨城,NA,21472,21367,105,27412,27280,132,278,209,2017-06-01
NA,栃木,NA,10048,9996,52,12639,12551,88,95,135,2017-06-01
NA,群馬,NA,6294,6262,32,7779,7731,48,73,59,2017-06-01
NA,埼玉,NA,51894,51739,155,68887,68669,218,563,466,2017-06-01
NA,千葉,NA,39086,38909,177,50800,50548,252,485,438,2017-06-01
NA,東京,NA,225128,224085,1043,281955,280477,1478,2312,2200,2017-06-01
NA,神奈川,NA,26419,26314,105,34835,34673,162,334,272,2017-06-01
NA,新潟,NA,7085,7036,49,9013,8944,69,85,88,2017-06-01
NA,富山,NA,1481,1466,15,1719,1697,22,14,21,2017-06-01
NA,石川,NA,2710,2677,33,3147,3111,36,23,36,2017-06-01
NA,福井,NA,3387,3335,52,4186,4116,70,38,31,2017-06-01
NA,山梨,NA,5645,5576,69,7030,6940,90,78,56,2017-06-01
NA,長野,NA,6474,6413,61,8005,7917,88,70,89,2017-06-01
NA,岐阜,NA,4383,4325,58,5416,5351,65,51,38,2017-06-01
NA,静岡,NA,11851,11759,92,14741,14608,133,180,141,2017-06-01
NA,愛知,NA,17862,17733,129,23403,23204,199,272,233,2017-06-01
NA,三重,NA,12805,12710,95,16468,16343,125,139,148,2017-06-01
NA,滋賀,NA,5194,5154,40,7293,7233,60,74,78,2017-06-01
NA,京都,NA,10338,10263,75,14785,14673,112,125,108,2017-06-01
NA,大阪,NA,56585,56378,207,77608,77282,326,555,548,2017-06-01
NA,兵庫,NA,17717,17598,119,23884,23714,170,220,186,2017-06-01
NA,奈良,NA,9587,9518,69,12981,12874,107,81,86,2017-06-01
NA,和歌山,NA,4978,4945,33,6109,6070,39,50,51,2017-06-01
NA,鳥取,NA,5594,5548,46,7361,7292,69,54,78,2017-06-01
NA,島根,NA,4653,4637,16,5954,5935,19,50,45,2017-06-01
NA,岡山,NA,3971,3949,22,5086,5059,27,46,54,2017-06-01
NA,広島,NA,5954,5893,61,8042,7952,90,75,79,2017-06-01
NA,山口,NA,8981,8932,49,11293,11231,62,104,89,2017-06-01
NA,徳島,NA,10751,10715,36,13850,13802,48,75,69,2017-06-01
