統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1639460,1631283,8177,2143887,2132671,11216,15440,17460,2017-01-01
NA,北海道,NA,49912,49855,57,66796,66731,65,374,458,2017-01-01
NA,青森,NA,13586,13577,9,16831,16821,10,128,106,2017-01-01
NA,岩手,NA,6730,6693,37,8697,8638,59,55,81,2017-01-01
NA,宮城,NA,7802,7765,37,10445,10386,59,67,81,2017-01-01
NA,秋田,NA,7364,7346,18,9592,9568,24,56,89,2017-01-01
NA,山形,NA,6188,6143,45,7683,7621,62,60,83,2017-01-01
NA,福島,NA,7604,7527,77,9432,9352,80,96,81,2017-01-01
NA,茨城,NA,21258,21136,122,27174,27020,154,235,270,2017-01-01
NA,栃木,NA,10051,9990,61,12805,12723,82,87,111,2017-01-01
NA,群馬,NA,6259,6220,39,7778,7730,48,62,79,2017-01-01
NA,埼玉,NA,51521,51331,190,69016,68750,266,531,516,2017-01-01
NA,千葉,NA,38582,38419,163,50485,50252,233,363,352,2017-01-01
NA,東京,NA,224982,223917,1065,283279,281833,1446,2362,2384,2017-01-01
NA,神奈川,NA,26228,26130,98,34906,34761,145,300,294,2017-01-01
NA,新潟,NA,7129,7083,46,9160,9096,64,82,94,2017-01-01
NA,富山,NA,1507,1487,20,1756,1728,28,15,23,2017-01-01
NA,石川,NA,2714,2687,27,3157,3124,33,29,33,2017-01-01
NA,福井,NA,3334,3285,49,4160,4104,56,31,25,2017-01-01
NA,山梨,NA,5609,5535,74,7032,6934,98,49,61,2017-01-01
NA,長野,NA,6520,6454,66,8166,8073,93,66,77,2017-01-01
NA,岐阜,NA,4406,4346,60,5496,5422,74,49,66,2017-01-01
NA,静岡,NA,11701,11631,70,14641,14548,93,117,128,2017-01-01
NA,愛知,NA,17782,17677,105,23504,23342,162,202,248,2017-01-01
NA,三重,NA,12857,12767,90,16628,16508,120,134,146,2017-01-01
NA,滋賀,NA,5201,5167,34,7421,7374,47,66,46,2017-01-01
NA,京都,NA,10331,10251,80,15043,14928,115,107,103,2017-01-01
NA,大阪,NA,56719,56510,209,78669,78305,364,513,576,2017-01-01
NA,兵庫,NA,17585,17477,108,23872,23707,165,137,157,2017-01-01
NA,奈良,NA,9614,9546,68,13095,12997,98,69,104,2017-01-01
NA,和歌山,NA,4991,4958,33,6167,6123,44,56,61,2017-01-01
NA,鳥取,NA,5641,5604,37,7506,7463,43,65,64,2017-01-01
NA,島根,NA,4666,4655,11,5987,5971,16,47,60,2017-01-01
NA,岡山,NA,3997,3970,27,5148,5106,42,43,55,2017-01-01
NA,広島,NA,5949,5898,51,8104,8033,71,72,63,2017-01-01
NA,山口,NA,8998,8951,47,11373,11305,68,56,80,2017-01-01
NA,徳島,NA,10830,10803,27,14061,14026,35,77,104,2017-01-01
NA,香川,NA,3465,3433,32,4492,4449,43,34,46,2017-01-01
NA,愛媛,NA,7664,7605,59,9506,9438,68,62,94,2017-01-01
NA,高知,NA,5949,5906,43,7579,7516,63,55,79,2017-01-01
NA,福岡,NA,39095,38955,140,54892,54676,216,238,333,2017-01-01
NA,佐賀,NA,6450,6382,68,7951,7866,85,55,62,2017-01-01
NA,長崎,NA,8107,8064,43,10853,10799,54,47,65,2017-01-01
NA,熊本,NA,7508,7464,44,9617,9557,60,63,107,2017-01-01
NA,大分,NA,9239,9135,104,11577,11448,129,78,84,2017-01-01
NA,宮崎,NA,7510,7479,31,9502,9462,40,52,103,2017-01-01
NA,鹿児島,NA,12365,12258,107,16223,16067,156,95,140,2017-01-01
NA,沖縄,NA,18330,18243,87,24271,24142,129,187,162,2017-01-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-01
NA,札幌市,NA,54460,54322,138,73761,73597,164,550,531,2017-01-01
NA,仙台市,NA,13178,13126,52,17776,17709,67,133,108,2017-01-01
NA,さいたま市,NA,15432,15343,89,20353,20221,132,191,201,2017-01-01
NA,千葉市,NA,16222,16016,206,20566,20258,308,137,153,2017-01-01
NA,横浜市,NA,53746,53632,114,70944,70753,191,662,685,2017-01-01
NA,川崎市,NA,24312,24272,40,31905,31843,62,280,317,2017-01-01
NA,相模原市,NA,10020,9987,33,14046,13998,48,87,110,2017-01-01
NA,新潟市,NA,8973,8922,51,11891,11831,60,79,76,2017-01-01
NA,静岡市,NA,7043,6992,51,9068,8999,69,81,81,2017-01-01
NA,浜松市,NA,5722,5638,84,7417,7299,118,67,81,2017-01-01
NA,名古屋市,NA,38599,38371,228,49153,48851,302,488,583,2017-01-01
NA,京都市,NA,33045,32629,416,45340,44761,579,392,370,2017-01-01
NA,大阪市,NA,115899,115103,796,143998,142901,1097,1134,1366,2017-01-01
NA,堺市,NA,19186,19128,58,25970,25897,73,188,227,2017-01-01
NA,神戸市,NA,34894,34738,156,47579,47369,210,278,347,2017-01-01
NA,岡山市,NA,10017,9978,39,13612,13568,44,84,125,2017-01-01
NA,広島市,NA,19324,19244,80,26260,26151,109,160,242,2017-01-01
NA,北九州市,NA,18572,18496,76,23728,23641,87,114,177,2017-01-01
NA,福岡市,NA,33506,33421,85,44065,43965,100,355,372,2017-01-01
NA,熊本市,NA,12287,12232,55,16284,16218,66,94,185,2017-01-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-01
NA,旭川市,NA,10078,10043,35,13202,13159,43,68,57,2017-01-01
NA,函館市,NA,9501,9481,20,12272,12246,26,91,91,2017-01-01
NA,青森市,NA,6803,6802,1,8679,8678,1,43,55,2017-01-01
