統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1642238,1633541,8697,2127203,2115006,12197,17328,17458,2017-08-01
NA,北海道,NA,49378,49290,88,65403,65282,121,368,499,2017-08-01
NA,青森,NA,13618,13597,21,16736,16711,25,84,93,2017-08-01
NA,岩手,NA,6708,6660,48,8573,8509,64,69,78,2017-08-01
NA,宮城,NA,7975,7935,40,10645,10591,54,99,77,2017-08-01
NA,秋田,NA,7285,7262,23,9375,9338,37,61,79,2017-08-01
NA,山形,NA,6234,6171,63,7686,7596,90,83,81,2017-08-01
NA,福島,NA,7703,7633,70,9528,9455,73,88,82,2017-08-01
NA,茨城,NA,21612,21491,121,27505,27346,159,274,213,2017-08-01
NA,栃木,NA,10030,9974,56,12577,12497,80,108,127,2017-08-01
NA,群馬,NA,6304,6266,38,7756,7704,52,75,67,2017-08-01
NA,埼玉,NA,52155,51980,175,69060,68804,256,596,537,2017-08-01
NA,千葉,NA,39290,39109,181,50999,50738,261,503,398,2017-08-01
NA,東京,NA,225513,224438,1075,282033,280468,1565,2271,2227,2017-08-01
NA,神奈川,NA,26549,26443,106,34885,34722,163,344,329,2017-08-01
NA,新潟,NA,7094,7037,57,8998,8921,77,101,84,2017-08-01
NA,富山,NA,1424,1402,22,1647,1613,34,10,27,2017-08-01
NA,石川,NA,2689,2660,29,3118,3086,32,26,26,2017-08-01
NA,福井,NA,3409,3344,65,4197,4103,94,41,48,2017-08-01
NA,山梨,NA,5674,5594,80,7064,6966,98,61,50,2017-08-01
NA,長野,NA,6424,6359,65,7924,7834,90,58,62,2017-08-01
NA,岐阜,NA,4399,4334,65,5433,5363,70,55,55,2017-08-01
NA,静岡,NA,11940,11857,83,14831,14721,110,165,145,2017-08-01
NA,愛知,NA,17869,17744,125,23314,23113,201,219,229,2017-08-01
NA,三重,NA,12754,12672,82,16376,16274,102,138,134,2017-08-01
NA,滋賀,NA,5190,5138,52,7277,7194,83,72,66,2017-08-01
NA,京都,NA,10335,10249,86,14787,14646,141,105,102,2017-08-01
NA,大阪,NA,56589,56360,229,77402,77048,354,563,541,2017-08-01
NA,兵庫,NA,17751,17616,135,23883,23662,221,192,173,2017-08-01
NA,奈良,NA,9615,9542,73,12966,12850,116,88,93,2017-08-01
NA,和歌山,NA,4657,4625,32,5700,5662,38,50,49,2017-08-01
NA,鳥取,NA,5570,5528,42,7321,7263,58,57,64,2017-08-01
NA,島根,NA,4650,4634,16,5924,5904,20,52,58,2017-08-01
NA,岡山,NA,3961,3937,24,5042,5011,31,49,75,2017-08-01
NA,広島,NA,5943,5884,59,7999,7910,89,65,84,2017-08-01
NA,山口,NA,8969,8916,53,11268,11201,67,68,107,2017-08-01
NA,徳島,NA,10747,10701,46,13827,13764,63,90,92,2017-08-01
NA,香川,NA,3459,3430,29,4470,4436,34,42,34,2017-08-01
NA,愛媛,NA,7660,7600,60,9467,9385,82,78,88,2017-08-01
NA,高知,NA,5904,5845,59,7431,7361,70,66,74,2017-08-01
NA,福岡,NA,38832,38669,163,53975,53710,265,319,311,2017-08-01
NA,佐賀,NA,6470,6415,55,7906,7831,75,67,57,2017-08-01
NA,長崎,NA,8037,8001,36,10615,10566,49,61,79,2017-08-01
NA,熊本,NA,7501,7455,46,9538,9473,65,85,90,2017-08-01
NA,大分,NA,9193,9093,100,11444,11308,136,77,84,2017-08-01
NA,宮崎,NA,7456,7422,34,9309,9263,46,90,85,2017-08-01
NA,鹿児島,NA,12271,12165,106,15952,15779,173,136,135,2017-08-01
NA,沖縄,NA,18606,18505,101,24350,24199,151,237,178,2017-08-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-08-01
NA,札幌市,NA,54676,54477,199,73170,72929,241,592,585,2017-08-01
NA,仙台市,NA,13447,13377,70,18011,17900,111,203,149,2017-08-01
NA,さいたま市,NA,15425,15334,91,20247,20106,141,182,189,2017-08-01
NA,千葉市,NA,16598,16378,220,20876,20565,311,312,279,2017-08-01
NA,横浜市,NA,53814,53709,105,70400,70235,165,693,633,2017-08-01
NA,川崎市,NA,24386,24336,50,31760,31685,75,329,365,2017-08-01
NA,相模原市,NA,10107,10076,31,14058,14002,56,100,107,2017-08-01
NA,新潟市,NA,9074,9016,58,11956,11866,90,100,97,2017-08-01
NA,静岡市,NA,7102,7050,52,9112,9049,63,85,74,2017-08-01
NA,浜松市,NA,5738,5660,78,7378,7266,112,78,82,2017-08-01
NA,名古屋市,NA,38655,38424,231,48766,48447,319,515,555,2017-08-01
NA,京都市,NA,32868,32501,367,44609,44085,524,306,327,2017-08-01
NA,大阪市,NA,115705,114884,821,142576,141504,1072,1268,1451,2017-08-01
NA,堺市,NA,19296,19239,57,25836,25756,80,230,220,2017-08-01
NA,神戸市,NA,34858,34687,171,47009,46779,230,359,380,2017-08-01
NA,岡山市,NA,10019,9993,26,13432,13399,33,100,113,2017-08-01
NA,広島市,NA,19058,18976,82,25599,25485,114,192,215,2017-08-01
NA,北九州市,NA,18635,18573,62,23593,23521,72,197,166,2017-08-01
NA,福岡市,NA,33677,33556,121,43782,43624,158,389,449,2017-08-01
NA,熊本市,NA,12141,12083,58,15921,15847,74,148,155,2017-08-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-08-01
NA,旭川市,NA,10004,9966,38,12908,12854,54,52,94,2017-08-01
NA,函館市,NA,9426,9408,18,12093,12072,21,69,85,2017-08-01
NA,青森市,NA,6800,6795,5,8631,8622,9,43,42,2017-08-01
NA,八戸市,NA,3637,3625,12,4569,4556,13,29,19,2017-08-01
NA,盛岡市,NA,3774,3755,19,4799,4775,24,37,47,2017-08-01
NA,秋田市,NA,4295,4284,11,5399,5373,26,32,37,2017-08-01
NA,郡山市,NA,2650,2643,7,3311,3304,7,38,28,2017-08-01
NA,いわき市,NA,3269,3247,22,4256,4232,24,49,42,2017-08-01
NA,宇都宮市,NA,6686,6624,62,8620,8543,77,65,57,2017-08-01
NA,前橋市,NA,3180,3130,50,3919,3855,64,38,32,2017-08-01
NA,高崎市,NA,2865,2850,15,3468,3448,20,36,30,2017-08-01
NA,川越市,NA,3350,3346,4,4454,4448,6,37,32,2017-08-01
NA,越谷市,NA,3028,3011,17,4116,4092,24,35,31,2017-08-01
NA,船橋市,NA,6966,6924,42,9007,8952,55,79,70,2017-08-01
NA,柏市,NA,3472,3468,4,4586,4582,4,39,27,2017-08-01
NA,八王子市,NA,7591,7578,13,9903,9886,17,52,58,2017-08-01
NA,横須賀市,NA,4070,4043,27,5344,5310,34,41,34,2017-08-01
NA,富山市,NA,1625,1619,6,1856,1850,6,13,28,2017-08-01
NA,金沢市,NA,3709,3682,27,4376,4345,31,29,37,2017-08-01
NA,長野市,NA,2556,2536,20,3263,3230,33,23,18,2017-08-01
NA,岐阜市,NA,5312,5270,42,6549,6489,60,46,34,2017-08-01
NA,豊橋市,NA,1805,1801,4,2216,2206,10,22,17,2017-08-01
NA,豊田市,NA,1763,1757,6,2425,2415,10,20,21,2017-08-01
NA,岡崎市,NA,1558,1541,17,2019,1991,28,19,19,2017-08-01
NA,大津市,NA,3099,3077,22,4136,4107,29,25,20,2017-08-01
NA,高槻市,NA,4228,4218,10,6079,6064,15,36,36,2017-08-01
NA,東大阪市,NA,14618,14545,73,19643,19541,102,123,133,2017-08-01
NA,豊中市,NA,7712,7676,36,10314,10251,63,63,73,2017-08-01
NA,枚方市,NA,5754,5729,25,7954,7916,38,55,45,2017-08-01
NA,姫路市,NA,6843,6822,21,8852,8826,26,61,62,2017-08-01
NA,西宮市,NA,5957,5897,60,8162,8067,95,36,45,2017-08-01
NA,尼崎市,NA,13920,13885,35,18265,18224,41,106,108,2017-08-01
NA,奈良市,NA,5489,5397,92,7612,7468,144,44,35,2017-08-01
NA,和歌山市,NA,7727,7713,14,9304,9287,17,75,81,2017-08-01
NA,倉敷市,NA,5259,5243,16,7292,7269,23,53,48,2017-08-01
NA,福山市,NA,4896,4882,14,6513,6497,16,27,36,2017-08-01
NA,呉市,NA,2954,2933,21,3757,3731,26,20,34,2017-08-01
NA,下関市,NA,3454,3439,15,4367,4346,21,32,30,2017-08-01
NA,高松市,NA,4805,4756,49,6120,6057,63,51,37,2017-08-01
NA,松山市,NA,9949,9934,15,12343,12320,23,73,74,2017-08-01
NA,高知市,NA,9270,9206,64,12127,12027,100,67,94,2017-08-01
NA,久留米市,NA,5212,5207,5,6800,6794,6,41,44,2017-08-01
NA,長崎市,NA,9608,9568,40,12951,12891,60,60,67,2017-08-01
NA,佐世保市,NA,4204,4187,17,5520,5493,27,32,42,2017-08-01
NA,大分市,NA,6933,6899,34,8660,8619,41,54,69,2017-08-01
NA,宮崎市,NA,6930,6913,17,8858,8839,19,67,78,2017-08-01
NA,鹿児島市,NA,11743,11607,136,15325,15175,150,87,85,2017-08-01
NA,那覇市,NA,9608,9594,14,12555,12536,19,113,86,2017-08-01
