統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1642971,1634487,8484,2124526,2112750,11776,17480,16973,2017-11-01
NA,北海道,NA,49233,49177,56,65003,64933,70,469,422,2017-11-01
NA,青森,NA,13680,13663,17,16792,16770,22,118,92,2017-11-01
NA,岩手,NA,6696,6663,33,8537,8494,43,66,83,2017-11-01
NA,宮城,NA,8033,7983,50,10724,10647,77,108,82,2017-11-01
NA,秋田,NA,7223,7211,12,9301,9287,14,59,93,2017-11-01
NA,山形,NA,6292,6241,51,7764,7702,62,84,62,2017-11-01
NA,福島,NA,7758,7701,57,9598,9539,59,114,88,2017-11-01
NA,茨城,NA,21808,21691,117,27693,27530,163,250,238,2017-11-01
NA,栃木,NA,9979,9933,46,12479,12411,68,100,112,2017-11-01
NA,群馬,NA,6273,6234,39,7688,7635,53,53,61,2017-11-01
NA,埼玉,NA,52296,52103,193,69099,68827,272,573,535,2017-11-01
NA,千葉,NA,39478,39295,183,51164,50911,253,482,398,2017-11-01
NA,東京,NA,225795,224743,1052,282040,280493,1547,2358,2204,2017-11-01
NA,神奈川,NA,26595,26480,115,34857,34700,157,322,294,2017-11-01
NA,新潟,NA,7098,7039,59,9007,8927,80,87,97,2017-11-01
NA,富山,NA,1461,1432,29,1705,1666,39,20,14,2017-11-01
NA,石川,NA,2685,2660,25,3116,3089,27,33,29,2017-11-01
NA,福井,NA,3390,3327,63,4155,4081,74,33,28,2017-11-01
NA,山梨,NA,5705,5630,75,7083,6980,103,61,53,2017-11-01
NA,長野,NA,6401,6322,79,7871,7757,114,71,83,2017-11-01
NA,岐阜,NA,4415,4349,66,5449,5373,76,50,65,2017-11-01
NA,静岡,NA,11950,11849,101,14795,14662,133,144,131,2017-11-01
NA,愛知,NA,17890,17746,144,23309,23093,216,212,264,2017-11-01
NA,三重,NA,12732,12640,92,16283,16145,138,145,143,2017-11-01
NA,滋賀,NA,5181,5134,47,7264,7189,75,60,58,2017-11-01
NA,京都,NA,10315,10226,89,14718,14575,143,96,99,2017-11-01
NA,大阪,NA,56697,56492,205,77427,77118,309,568,552,2017-11-01
NA,兵庫,NA,17813,17690,123,23933,23726,207,197,183,2017-11-01
NA,奈良,NA,9577,9513,64,12919,12821,98,83,89,2017-11-01
NA,和歌山,NA,4970,4941,29,6093,6056,37,53,53,2017-11-01
NA,鳥取,NA,5572,5534,38,7314,7259,55,70,78,2017-11-01
NA,島根,NA,4632,4621,11,5911,5896,15,65,58,2017-11-01
NA,岡山,NA,3902,3878,24,4962,4927,35,43,60,2017-11-01
NA,広島,NA,5944,5897,47,7990,7923,67,74,71,2017-11-01
NA,山口,NA,8887,8843,44,11131,11069,62,92,89,2017-11-01
NA,徳島,NA,10703,10664,39,13765,13708,57,80,88,2017-11-01
NA,香川,NA,3454,3432,22,4449,4420,29,35,40,2017-11-01
NA,愛媛,NA,7664,7597,67,9459,9365,94,71,73,2017-11-01
NA,高知,NA,5890,5837,53,7410,7352,58,67,78,2017-11-01
NA,福岡,NA,38661,38504,157,53597,53337,260,287,354,2017-11-01
NA,佐賀,NA,6494,6446,48,7914,7846,68,69,82,2017-11-01
NA,長崎,NA,8040,8010,30,10587,10552,35,85,71,2017-11-01
NA,熊本,NA,7526,7487,39,9549,9495,54,112,114,2017-11-01
NA,大分,NA,9183,9088,95,11387,11270,117,66,96,2017-11-01
NA,宮崎,NA,7426,7387,39,9272,9222,50,86,95,2017-11-01
NA,鹿児島,NA,12135,12012,123,15783,15591,192,100,119,2017-11-01
NA,沖縄,NA,18692,18589,103,24417,24266,151,198,170,2017-11-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-11-01
NA,札幌市,NA,54853,54730,123,73251,73095,156,672,558,2017-11-01
NA,仙台市,NA,13516,13436,80,18064,17948,116,173,145,2017-11-01
NA,さいたま市,NA,15383,15294,89,20122,19990,132,162,186,2017-11-01
NA,千葉市,NA,16644,16409,235,20911,20583,328,264,279,2017-11-01
NA,横浜市,NA,54004,53902,102,70577,70428,149,765,687,2017-11-01
NA,川崎市,NA,24300,24232,68,31607,31519,88,315,306,2017-11-01
NA,相模原市,NA,10123,10092,31,14035,13983,52,103,95,2017-11-01
NA,新潟市,NA,9105,9051,54,11976,11903,73,98,92,2017-11-01
NA,静岡市,NA,7155,7095,60,9180,9108,72,73,99,2017-11-01
NA,浜松市,NA,5704,5624,80,7310,7190,120,56,77,2017-11-01
NA,名古屋市,NA,38580,38370,210,48657,48372,285,567,545,2017-11-01
NA,京都市,NA,32872,32513,359,44568,44070,498,349,291,2017-11-01
NA,大阪市,NA,115465,114683,782,142081,141107,974,1324,1372,2017-11-01
NA,堺市,NA,19304,19256,48,25852,25788,64,204,203,2017-11-01
NA,神戸市,NA,34731,34558,173,46806,46582,224,289,321,2017-11-01
NA,岡山市,NA,10025,9994,31,13440,13401,39,108,108,2017-11-01
NA,広島市,NA,18958,18879,79,25377,25271,106,195,104,2017-11-01
NA,北九州市,NA,18593,18516,77,23551,23469,82,141,175,2017-11-01
NA,福岡市,NA,33703,33579,124,43788,43627,161,416,345,2017-11-01
NA,熊本市,NA,12115,12064,51,15843,15775,68,129,153,2017-11-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-11-01
NA,旭川市,NA,10002,9972,30,12857,12815,42,96,67,2017-11-01
NA,函館市,NA,9431,9421,10,12038,12028,10,81,83,2017-11-01
NA,青森市,NA,6811,6805,6,8616,8609,7,42,32,2017-11-01
NA,八戸市,NA,3652,3640,12,4574,4560,14,24,20,2017-11-01
NA,盛岡市,NA,3780,3764,16,4800,4771,29,42,26,2017-11-01
NA,秋田市,NA,4291,4284,7,5387,5376,11,34,43,2017-11-01
NA,郡山市,NA,2646,2633,13,3287,3274,13,31,29,2017-11-01
NA,いわき市,NA,3277,3255,22,4289,4264,25,38,37,2017-11-01
NA,宇都宮市,NA,6737,6673,64,8707,8622,85,63,62,2017-11-01
NA,前橋市,NA,3182,3134,48,3892,3831,61,38,35,2017-11-01
NA,高崎市,NA,2869,2852,17,3471,3447,24,33,19,2017-11-01
NA,川越市,NA,3357,3351,6,4436,4427,9,31,27,2017-11-01
NA,越谷市,NA,3039,3022,17,4107,4078,29,30,27,2017-11-01
NA,船橋市,NA,6971,6940,31,9003,8959,44,56,82,2017-11-01
NA,柏市,NA,3494,3490,4,4597,4593,4,48,36,2017-11-01
NA,八王子市,NA,7541,7529,12,9755,9740,15,63,61,2017-11-01
NA,横須賀市,NA,4067,4035,32,5332,5288,44,27,26,2017-11-01
NA,富山市,NA,1646,1640,6,1878,1870,8,32,17,2017-11-01
NA,金沢市,NA,3676,3644,32,4322,4284,38,32,36,2017-11-01
NA,長野市,NA,2565,2549,16,3254,3231,23,25,41,2017-11-01
NA,岐阜市,NA,5324,5275,49,6558,6472,86,39,39,2017-11-01
NA,豊橋市,NA,1794,1781,13,2185,2167,18,13,26,2017-11-01
NA,豊田市,NA,1771,1764,7,2422,2410,12,30,33,2017-11-01
NA,岡崎市,NA,1560,1545,15,2019,1995,24,27,22,2017-11-01
NA,大津市,NA,3098,3071,27,4114,4075,39,29,28,2017-11-01
NA,高槻市,NA,4258,4247,11,6088,6073,15,52,24,2017-11-01
NA,東大阪市,NA,14613,14549,64,19603,19511,92,142,131,2017-11-01
NA,豊中市,NA,7712,7670,42,10297,10225,72,54,75,2017-11-01
NA,枚方市,NA,5743,5719,24,7900,7864,36,58,52,2017-11-01
NA,姫路市,NA,6804,6790,14,8785,8767,18,62,64,2017-11-01
NA,西宮市,NA,5953,5888,65,8121,8014,107,38,36,2017-11-01
NA,尼崎市,NA,13937,13899,38,18266,18224,42,112,90,2017-11-01
NA,奈良市,NA,5493,5396,97,7570,7426,144,40,51,2017-11-01
NA,和歌山市,NA,7755,7745,10,9339,9325,14,92,70,2017-11-01
NA,倉敷市,NA,5285,5277,8,7331,7318,13,65,64,2017-11-01
NA,福山市,NA,4894,4886,8,6509,6501,8,32,46,2017-11-01
NA,呉市,NA,2927,2906,21,3733,3709,24,21,31,2017-11-01
NA,下関市,NA,3431,3413,18,4331,4305,26,27,35,2017-11-01
NA,高松市,NA,4812,4758,54,6127,6060,67,43,37,2017-11-01
NA,松山市,NA,9937,9924,13,12299,12273,26,69,84,2017-11-01
NA,高知市,NA,9274,9213,61,12096,12004,92,76,75,2017-11-01
NA,久留米市,NA,5244,5237,7,6836,6827,9,40,51,2017-11-01
NA,長崎市,NA,9600,9549,51,12897,12820,77,53,69,2017-11-01
NA,佐世保市,NA,4156,4143,13,5424,5404,20,30,35,2017-11-01
NA,大分市,NA,6919,6885,34,8633,8591,42,57,69,2017-11-01
