統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1642614,1634171,8443,2123290,2111685,11605,16615,17126,2017-12-01
NA,北海道,NA,49283,49220,63,65107,65030,77,469,426,2017-12-01
NA,青森,NA,13687,13671,16,16801,16780,21,99,83,2017-12-01
NA,岩手,NA,6701,6667,34,8541,8496,45,88,75,2017-12-01
NA,宮城,NA,8061,8008,53,10753,10678,75,110,85,2017-12-01
NA,秋田,NA,7186,7167,19,9262,9239,23,56,105,2017-12-01
NA,山形,NA,6308,6256,52,7770,7705,65,78,62,2017-12-01
NA,福島,NA,7778,7719,59,9611,9550,61,108,81,2017-12-01
NA,茨城,NA,21844,21730,114,27739,27584,155,274,245,2017-12-01
NA,栃木,NA,9979,9918,61,12473,12382,91,112,99,2017-12-01
NA,群馬,NA,6275,6236,39,7679,7627,52,63,86,2017-12-01
NA,埼玉,NA,52289,52095,194,69027,68753,274,528,543,2017-12-01
NA,千葉,NA,39547,39352,195,51221,50957,264,467,409,2017-12-01
NA,東京,NA,225670,224608,1062,281805,280265,1540,2079,2234,2017-12-01
NA,神奈川,NA,26617,26492,125,34890,34723,167,316,300,2017-12-01
NA,新潟,NA,7097,7039,58,8997,8910,87,96,79,2017-12-01
NA,富山,NA,1462,1431,31,1705,1664,41,15,15,2017-12-01
NA,石川,NA,2674,2649,25,3107,3080,27,18,29,2017-12-01
NA,福井,NA,3398,3336,62,4172,4101,71,36,44,2017-12-01
NA,山梨,NA,5721,5651,70,7122,7028,94,69,53,2017-12-01
NA,長野,NA,6395,6321,74,7856,7752,104,78,97,2017-12-01
NA,岐阜,NA,4381,4317,64,5401,5326,75,33,69,2017-12-01
NA,静岡,NA,11954,11866,88,14778,14665,113,135,137,2017-12-01
NA,愛知,NA,17826,17692,134,23208,23010,198,199,219,2017-12-01
NA,三重,NA,12717,12624,93,16259,16124,135,128,161,2017-12-01
NA,滋賀,NA,5187,5137,50,7278,7200,78,64,70,2017-12-01
NA,京都,NA,10293,10203,90,14694,14550,144,77,99,2017-12-01
NA,大阪,NA,56711,56514,197,77368,77074,294,566,561,2017-12-01
NA,兵庫,NA,17834,17713,121,23935,23753,182,204,224,2017-12-01
NA,奈良,NA,9588,9528,60,12941,12849,92,98,85,2017-12-01
NA,和歌山,NA,4966,4932,34,6082,6041,41,49,51,2017-12-01
NA,鳥取,NA,5568,5531,37,7303,7248,55,76,72,2017-12-01
NA,島根,NA,4627,4609,18,5905,5882,23,53,61,2017-12-01
NA,岡山,NA,3894,3869,25,4956,4917,39,52,67,2017-12-01
NA,広島,NA,5942,5899,43,7962,7892,70,69,68,2017-12-01
NA,山口,NA,8880,8829,51,11109,11043,66,82,92,2017-12-01
NA,徳島,NA,10713,10674,39,13762,13700,62,98,92,2017-12-01
NA,香川,NA,3455,3434,21,4444,4416,28,41,38,2017-12-01
NA,愛媛,NA,7671,7604,67,9474,9383,91,80,84,2017-12-01
NA,高知,NA,5884,5835,49,7385,7322,63,72,68,2017-12-01
NA,福岡,NA,38614,38458,156,53506,53263,243,307,312,2017-12-01
NA,佐賀,NA,6472,6433,39,7875,7821,54,60,66,2017-12-01
NA,長崎,NA,8050,8020,30,10591,10556,35,81,67,2017-12-01
NA,熊本,NA,7516,7479,37,9531,9479,52,104,113,2017-12-01
NA,大分,NA,9157,9061,96,11357,11239,118,70,97,2017-12-01
NA,宮崎,NA,7411,7375,36,9240,9195,45,80,92,2017-12-01
NA,鹿児島,NA,12134,11991,143,15778,15559,219,118,139,2017-12-01
NA,沖縄,NA,18746,18641,105,24435,24285,150,224,185,2017-12-01
