統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1639558,1631720,7838,2130482,2119757,10725,18112,16819,2017-05-01
NA,北海道,NA,49690,49630,60,66034,65961,73,439,516,2017-05-01
NA,青森,NA,13631,13610,21,16788,16765,23,115,107,2017-05-01
NA,岩手,NA,6701,6662,39,8597,8541,56,71,64,2017-05-01
NA,宮城,NA,7892,7857,35,10518,10474,44,90,86,2017-05-01
NA,秋田,NA,7303,7289,14,9450,9435,15,65,88,2017-05-01
NA,山形,NA,6210,6157,53,7688,7621,67,63,70,2017-05-01
NA,福島,NA,7644,7574,70,9457,9386,71,90,62,2017-05-01
NA,茨城,NA,21406,21302,104,27311,27187,124,299,212,2017-05-01
NA,栃木,NA,10074,10023,51,12705,12623,82,108,121,2017-05-01
NA,群馬,NA,6285,6247,38,7773,7719,54,78,64,2017-05-01
NA,埼玉,NA,51853,51706,147,68950,68747,203,586,522,2017-05-01
NA,千葉,NA,38987,38802,185,50772,50515,257,477,386,2017-05-01
NA,東京,NA,225039,224027,1012,282184,280794,1390,2445,2224,2017-05-01
NA,神奈川,NA,26387,26279,108,34902,34738,164,338,302,2017-05-01
NA,新潟,NA,7088,7043,45,9053,8988,65,89,88,2017-05-01
NA,富山,NA,1481,1464,17,1727,1702,25,14,14,2017-05-01
NA,石川,NA,2713,2681,32,3150,3116,34,33,26,2017-05-01
NA,福井,NA,3381,3342,39,4184,4132,52,48,32,2017-05-01
NA,山梨,NA,5625,5553,72,7011,6906,105,64,58,2017-05-01
NA,長野,NA,6495,6433,62,8058,7967,91,90,91,2017-05-01
NA,岐阜,NA,4375,4330,45,5419,5372,47,57,43,2017-05-01
NA,静岡,NA,11793,11704,89,14679,14558,121,155,122,2017-05-01
NA,愛知,NA,17785,17662,123,23362,23183,179,242,195,2017-05-01
NA,三重,NA,12813,12732,81,16505,16398,107,150,150,2017-05-01
NA,滋賀,NA,5186,5154,32,7290,7243,47,71,66,2017-05-01
NA,京都,NA,10304,10237,67,14793,14691,102,98,91,2017-05-01
NA,大阪,NA,56572,56393,179,77776,77468,308,589,542,2017-05-01
NA,兵庫,NA,17670,17546,124,23833,23657,176,198,173,2017-05-01
NA,奈良,NA,9604,9536,68,13031,12927,104,108,98,2017-05-01
NA,和歌山,NA,4988,4957,31,6133,6095,38,57,60,2017-05-01
NA,鳥取,NA,5620,5577,43,7389,7325,64,72,80,2017-05-01
NA,島根,NA,4656,4640,16,5962,5944,18,50,53,2017-05-01
NA,岡山,NA,3976,3959,17,5093,5075,18,40,51,2017-05-01
NA,広島,NA,5946,5893,53,8041,7964,77,66,67,2017-05-01
NA,山口,NA,8976,8930,46,11299,11240,59,105,99,2017-05-01
NA,徳島,NA,10750,10716,34,13856,13809,47,81,74,2017-05-01
NA,香川,NA,3452,3424,28,4466,4428,38,42,43,2017-05-01
NA,愛媛,NA,7665,7605,60,9507,9427,80,65,66,2017-05-01
NA,高知,NA,5898,5845,53,7448,7369,79,58,55,2017-05-01
NA,福岡,NA,38879,38731,148,54163,53930,233,303,340,2017-05-01
NA,佐賀,NA,6458,6400,58,7922,7843,79,59,63,2017-05-01
NA,長崎,NA,8059,8022,37,10658,10608,50,73,71,2017-05-01
NA,熊本,NA,7488,7449,39,9532,9486,46,100,80,2017-05-01
NA,大分,NA,9225,9141,84,11492,11385,107,78,80,2017-05-01
NA,宮崎,NA,7462,7426,36,9368,9321,47,84,95,2017-05-01
NA,鹿児島,NA,12268,12164,104,15983,15821,162,113,132,2017-05-01
NA,沖縄,NA,18404,18316,88,24184,24042,142,216,158,2017-05-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-01
NA,札幌市,NA,54656,54501,155,73387,73205,182,637,649,2017-05-01
NA,仙台市,NA,13320,13262,58,17898,17815,83,175,150,2017-05-01
NA,さいたま市,NA,15427,15337,90,20266,20136,130,192,184,2017-05-01
NA,千葉市,NA,16342,16159,183,20639,20382,257,217,229,2017-05-01
NA,横浜市,NA,53779,53676,103,70512,70357,155,751,710,2017-05-01
NA,川崎市,NA,24356,24302,54,31771,31694,77,360,317,2017-05-01
NA,相模原市,NA,10066,10044,22,14062,14033,29,143,102,2017-05-01
NA,新潟市,NA,9045,8994,51,11932,11867,65,107,82,2017-05-01
NA,静岡市,NA,7062,7011,51,9077,9012,65,74,64,2017-05-01
NA,浜松市,NA,5724,5659,65,7368,7281,87,64,66,2017-05-01
