"prefec_kanji","prefecture","id","month","date","year","suicide_total","suicide_male","suicide_female","suicide_rate","suicide_rate_male","suicide_rate_female","yoy_suicide_rate","yoy_suicide_rate_male","yoy_suicide_rate_female","yo3y_base_total","yo3y_base_male","yo3y_base_female","yo3y_suicide_rate","yo3y_suicide_rate_male","yo3y_suicide_rate_female","kyujin_bairitsu","有効求職者数_パート含む一般","有効求職者数_パート除く常用","有効求職者数_男女計_パートタイムを除く一般","job_seeker_female","job_seeker_male","year_lag_suicide_total","yoy_suicide_total","year_lag_suicide_male","yoy_suicide_male","year_lag_suicide_female","yoy_suicide_female","households_total","households_receive","households_suspend","persons_total","persons_receive","persons_suspend","households_start","households_end","prefec","year_lag_households_receive","yoy_households_receive","year_lag_persons_receive","yoy_persons_receive","population_total","population_male","population_female","koguchi_apply","koguchi_number","koguchi_payment_amount","sogo_apply","sogo_number","sogo_payment_amount","jukyo_apply","jukyo_number","jukyo_payment_amount","unemp_benefit_number_total","yoy_unemp_benefit_number_total","unemp_benefit_number_female","yoy_unemp_benefit_number_female","unemp_benefit_number_male","yoy_unemp_benefit_number_male","unemp_benefit_yen_total","yoy_unemp_benefit_yen_total","unemp_benefit_yen_female","yoy_unemp_benefit_yen_female","unemp_benefit_yen_male","yoy_unemp_benefit_yen_male","prefec_kanji2","yoy_diff2_unemployment_rate","job_seeker_total","job_seeker_total_rate","yoy_job_seeker_total_rate","yoy_diff2_job_seeker_total_rate","year_month_id","date_2017_01","date_2017_02","date_2017_03","date_2017_04","date_2017_05","date_2017_06","date_2017_07","date_2017_08","date_2017_09","date_2017_10","date_2017_11","date_2017_12","date_2018_01","date_2018_02","date_2018_03","date_2018_04","date_2018_05","date_2018_06","date_2018_07","date_2018_08","date_2018_09","date_2018_10","date_2018_11","date_2018_12","date_2019_01","date_2019_02","date_2019_03","date_2019_04","date_2019_05","date_2019_06","date_2019_07","date_2019_08","date_2019_09","date_2019_10","date_2019_11","date_2019_12","date_2020_01","date_2020_02","date_2020_03","date_2020_04","date_2020_05","date_2020_06","date_2020_07","date_2020_08","date_2020_09","date_2020_Feb_Mar_dummy","date_2020_Q2dummy","date_2020_Q3dummy","after_2020Jan_dummy","unemploy_shock_diff2","job_seeker_total_shock","Population_per_1_km_2_of_inhabitable_area","Secondary_industry_ratio","Tertiary_industry_ratio","Total_population","Ratio_of_aged_population","retail_and_recreation","grocery_and_pharmacy","parks","transit_stations","workplaces","residential","google_mobility_index_4vari_average","mobility_index_6vari_average","confirmed_cases_cumulative","deaths_cumulative","google_mobility_index_2020jun","infection_rate_cumulative2020jun","death_rate_cumulative2020jun","google_mobility_index_2020may","infection_rate_cumulative2020may","death_rate_cumulative2020may"
"北海道","Hokkaido",1,1,"2018-01-01",2018,61,44,17,1.13577,1.7341,0.5999717,-0.19726499915122986,-0.146137997508049,-0.24262380599975586,1.3384313583374023,1.9056493043899536,0.8300883769989014,NA,NA,NA,1.23,99976,50620,75740,29705,45990,72,-11,48,-4,24,-7,2320.845864661654,2317.2556390977443,3.590225563909774,3063.3834586466164,3058.890977443609,4.492481203007519,19.00375939849624,21.898496240601503,"Hokkaido",2311.3041853512705,5.951453746473817,3096.6554559043348,-37.76447846072597,5320,2506,2814,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.8609022556391,-9.596496847499964,410.7320540156361,-14.70964209743812,264.52513966480444,-4.019088815957161,426314.02687969926,6339.087044123793,468442.3049040512,8393.562147867458,379007.9716679968,3852.106535113009,"北海道",0.8115411554634182,51742,1.90929889298893,0.00135531466673222,0.1176285770383858,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8115411554634182,0.1176285770383858,234.7,0.16901537432990377,0.7056196506259707,525,55.5,-10.666666666666666,2.2666666666666666,16.133333333333333,-23.5,-8.233333333333333,3.933333333333333,-10.033333333333331,-3.344444444444445,1250,99,-10.033333333333331,23.809523809523807,1.8857142857142857,-23.54032258064516,20.666666666666668,1.638095238095238
"北海道","Hokkaido",1,2,"2018-02-01",2018,60,41,19,1.117151,1.615865,0.6705566,-0.16034099459648132,-0.14685800671577454,-0.17203889787197113,1.2277946472167969,1.7881286144256592,0.72556471824646,NA,NA,NA,1.23,92238,52975,67247,27939,39258,69,-9,45,-4,24,-5,2320.93984962406,2317.593984962406,3.3458646616541357,3061.56015037594,3057.406015037594,4.154135338345865,20.357142857142858,20.657894736842106,"Hokkaido",2311.378923766816,6.215061195589897,3095.0859491778774,-37.67993414028342,5320,2506,2814,NA,NA,NA,NA,NA,NA,NA,NA,NA,327.72556390977445,-14.875332951212101,389.907604832978,-17.512889866668615,257.90103750997605,-12.071195730801435,348960.37406015035,-1559.93872011872,373825.7732764748,-1619.4694797089323,321038.89225857944,-1640.4718826343887,"北海道",0.8115411554634182,51742,1.90929889298893,0.00135531466673222,0.1176285770383858,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8115411554634182,0.1176285770383858,234.7,0.16901537432990377,0.7056196506259707,525,55.5,-10.666666666666666,2.2666666666666666,16.133333333333333,-23.5,-8.233333333333333,3.933333333333333,-10.033333333333331,-3.344444444444445,1250,99,-10.033333333333331,23.809523809523807,1.8857142857142857,-23.54032258064516,20.666666666666668,1.638095238095238
"北海道","Hokkaido",1,3,"2018-03-01",2018,86,59,27,1.601249,2.32527,0.9528962,0.12009900063276291,0.4058600068092346,-0.13545580208301544,1.4509096145629883,2.128742218017578,0.8433912992477417,NA,NA,NA,1.23,97164,56484,70623,28331,42225,80,6,49,10,31,-4,2324.342105263158,2320.5075187969924,3.8345864661654137,3065.582706766917,3060.9586466165415,4.62406015037594,24.097744360902258,26.729323308270676,"Hokkaido",2317.339312406577,3.1682063904154347,3104.7272047832585,-43.76855816671696,5320,2506,2814,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.03007518796994,-24.625380716364873,376.3681592039801,-30.698978605207117,261.01356743814847,-17.963029150506827,375046.11390977446,-33484.893190375005,395849.85607675905,-35174.20752748125,351685.4872306464,-31757.531412749027,"北海道",0.8115411554634182,51742,1.90929889298893,0.00135531466673222,0.1176285770383858,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8115411554634182,0.1176285770383858,234.7,0.16901537432990377,0.7056196506259707,525,55.5,-10.666666666666666,2.2666666666666666,16.133333333333333,-23.5,-8.233333333333333,3.933333333333333,-10.033333333333331,-3.344444444444445,1250,99,-10.033333333333331,23.809523809523807,1.8857142857142857,-23.54032258064516,20.666666666666668,1.638095238095238
"北海道","Hokkaido",1,4,"2018-04-01",2018,64,40,24,1.191627,1.576454,0.8470188,-0.1969510018825531,-0.029582999646663666,-0.34665820002555847,1.4185227155685425,1.9304280281066895,0.9596179723739624,NA,NA,NA,1.21,101968,58038,72246,29009,43154,75,-11,41,-1,34,-10,2319.436090225564,2315.451127819549,3.984962406015038,3041.56015037594,3036.7293233082705,4.830827067669173,21.82330827067669,25.263157894736842,"Hokkaido",2311.603139013453,3.8479888060960548,3077.5971599402096,-40.8678366319391,5320,2506,2814,NA,NA,NA,NA,NA,NA,NA,NA,NA,317.4624060150376,-1.82010519572475,364.5700071073205,-4.228579465117662,264.56504389465283,0.7411644817214551,331391.77255639096,4388.070762668969,342630.6066098081,4904.648659278057,318771.6292897047,3674.7030699506868,"北海道",0.8115411554634182,51742,1.90929889298893,0.00135531466673222,0.1176285770383858,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8115411554634182,0.1176285770383858,234.7,0.16901537432990377,0.7056196506259707,525,55.5,-10.666666666666666,2.2666666666666666,16.133333333333333,-23.5,-8.233333333333333,3.933333333333333,-10.033333333333331,-3.344444444444445,1250,99,-10.033333333333331,23.809523809523807,1.8857142857142857,-23.54032258064516,20.666666666666668,1.638095238095238
"北海道","Hokkaido",1,5,"2018-05-01",2018,76,54,22,1.415057,2.128213,0.7764339,-0.34380799531936646,-0.41794300079345703,-0.27681010961532593,1.5366493463516235,2.233034610748291,0.9125608801841736,NA,NA,NA,1.2,94524,56700,63850,28049,35722,95,-19,65,-11,30,-8,2317.124060150376,2312.5375939849628,4.586466165413534,3031.672932330827,3026.2406015037595,5.432330827067669,22.951127819548873,25.50751879699248,"Hokkaido",2308.5388639760836,3.9987300088791926,3068.423019431988,-42.18241792822846,5320,2506,2814,NA,NA,NA,NA,NA,NA,NA,NA,NA,387.78195488721803,-4.8749957854277,467.1641791044776,-9.47893043615835,298.6432561851556,0.11092774406085937,452867.17086466163,21991.40161951963,487892.26226012793,18888.755192990124,413537.3196328811,25291.705987502297,"北海道",0.8115411554634182,51742,1.90929889298893,0.00135531466673222,0.1176285770383858,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8115411554634182,0.1176285770383858,234.7,0.16901537432990377,0.7056196506259707,525,55.5,-10.666666666666666,2.2666666666666666,16.133333333333333,-23.5,-8.233333333333333,3.933333333333333,-10.033333333333331,-3.344444444444445,1250,99,-10.033333333333331,23.809523809523807,1.8857142857142857,-23.54032258064516,20.666666666666668,1.638095238095238
"北海道","Hokkaido",1,6,"2018-06-01",2018,82,57,25,1.535713,2.25964,0.8874648,-0.01949400082230568,-0.09065800160169601,0.04486929997801781,1.521255612373352,2.2764530181884766,0.8444317579269409,NA,NA,NA,1.21,87277,53993,57257,26599,30594,84,-2,60,-3,24,1,2311.672932330827,2306.2030075187968,5.469924812030076,3018.627819548872,3011.748120300752,6.879699248120301,20,22.274436090225564,"Hokkaido",2305.063527653214,1.1394798655828708,3058.034379671151,-46.286259370398966,5320,2506,2814,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.48496240601503,-15.921614574552962,456.68088130774703,-27.63007275585727,275.81803671189147,-2.960225882317218,409730.1560150376,-19269.905831001233,459410.22281449893,-30671.539022956917,353944.1592178771,-6657.564304534637,"北海道",0.8115411554634182,51742,1.90929889298893,0.00135531466673222,0.1176285770383858,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8115411554634182,0.1176285770383858,234.7,0.16901537432990377,0.7056196506259707,525,55.5,-10.666666666666666,2.2666666666666666,16.133333333333333,-23.5,-8.233333333333333,3.933333333333333,-10.033333333333331,-3.344444444444445,1250,99,-10.033333333333331,23.809523809523807,1.8857142857142857,-23.54032258064516,20.666666666666668,1.638095238095238
"北海道","Hokkaido",1,7,"2018-07-01",2018,80,58,22,1.498257,2.299283,0.7809691,-0.028514999896287918,0.09224700182676315,-0.1366346925497055,1.5637739896774292,2.3247106075286865,0.8821642398834229,NA,NA,NA,1.22,82625,52059,54562,26026,28475,82,-2,56,2,26,-4,2312.0112781954886,2305.751879699248,6.259398496240602,3017.8007518796994,3009.9624060150377,7.838345864661654,22.63157894736842,22.12406015037594,"Hokkaido",2302.8400597907325,2.911819908515554,3052.5971599402096,-42.634753925171935,5320,2506,2814,NA,NA,NA,NA,NA,NA,NA,NA,NA,389.19172932330827,3.205182238106488,485.4655294953802,1.1899111208219324,281.0853950518755,5.282142374366572,447541.93627819547,34491.35163693986,509853.1432125089,36680.79020897532,377572.3687150838,31848.858203382115,"北海道",0.8115411554634182,51742,1.90929889298893,0.00135531466673222,0.1176285770383858,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8115411554634182,0.1176285770383858,234.7,0.16901537432990377,0.7056196506259707,525,55.5,-10.666666666666666,2.2666666666666666,16.133333333333333,-23.5,-8.233333333333333,3.933333333333333,-10.033333333333331,-3.344444444444445,1250,99,-10.033333333333331,23.809523809523807,1.8857142857142857,-23.54032258064516,20.666666666666668,1.638095238095238
"北海道","Hokkaido",1,8,"2018-08-01",2018,68,43,25,1.273518,1.704641,0.8874648,-0.17877799272537231,-0.34474900364875793,-0.030138999223709106,1.3159207105636597,1.8389179706573486,0.8474465608596802,NA,NA,NA,1.24,80925,51468,53249,25748,27445,78,-10,52,-9,26,-1,2310.8834586466164,2304.4924812030076,6.390977443609022,3013.8909774436092,3005.714285714286,8.17669172932331,21.01503759398496,24.19172932330827,"Hokkaido",2300.8408071748877,3.651674028119942,3048.1502242152465,-42.435938500960674,5320,2506,2814,NA,NA,NA,NA,NA,NA,NA,NA,NA,399.36090225563913,-8.00083167560149,499.85785358919685,-14.135079272993892,286.512370311253,-1.3099224297228034,475107.82763157896,-2559.935447643744,543987.4975124379,-4331.621922191116,397762.5,-783.6166203887551,"北海道",0.8115411554634182,51742,1.90929889298893,0.00135531466673222,0.1176285770383858,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8115411554634182,0.1176285770383858,234.7,0.16901537432990377,0.7056196506259707,525,55.5,-10.666666666666666,2.2666666666666666,16.133333333333333,-23.5,-8.233333333333333,3.933333333333333,-10.033333333333331,-3.344444444444445,1250,99,-10.033333333333331,23.809523809523807,1.8857142857142857,-23.54032258064516,20.666666666666668,1.638095238095238
"北海道","Hokkaido",1,9,"2018-09-01",2018,68,45,23,1.273518,1.783926,0.8164676,0.007414000108838081,0.0892380028963089,-0.06584370136260986,1.364943027496338,1.9821423292160034,0.8120166063308716,NA,NA,NA,1.26,77046,49107,50416,24387,25975,68,0,43,2,25,-2,2307.5563909774437,2301.522556390977,6.033834586466166,3007.3496240601503,2999.605263157895,7.7443609022556394,20.845864661654133,18.08270676691729,"Hokkaido",2299.5142002989537,2.008356092023405,3042.3206278026905,-42.7153646447955,5320,2506,2814,NA,NA,NA,NA,NA,NA,NA,NA,NA,366.33458646616543,-7.899344774492249,455.97014925373134,-11.662359580190923,265.68236233040705,-3.8535361225877978,400645.97218045115,-11221.674306843313,456331.2430703625,-15094.772123983828,338116.70151636074,-7055.857388835633,"北海道",0.8115411554634182,51742,1.90929889298893,0.00135531466673222,0.1176285770383858,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8115411554634182,0.1176285770383858,234.7,0.16901537432990377,0.7056196506259707,525,55.5,-10.666666666666666,2.2666666666666666,16.133333333333333,-23.5,-8.233333333333333,3.933333333333333,-10.033333333333331,-3.344444444444445,1250,99,-10.033333333333331,23.809523809523807,1.8857142857142857,-23.54032258064516,20.666666666666668,1.638095238095238
"北海道","Hokkaido",1,10,"2018-10-01",2018,85,54,31,1.591898,2.140711,1.100456,0.2885560095310211,0.40661099553108215,0.18285219371318817,1.4711393117904663,1.9966930150985718,1.0003626346588135,NA,NA,NA,1.26,79182,50441,52127,25085,26981,70,15,44,10,26,5,2312.8383458646617,2307.4812030075186,5.357142857142857,3012.706766917293,3005.714285714286,6.992481203007518,23.36466165413534,21.729323308270676,"Hokkaido",2302.3542600896862,5.126942917832366,3044.18908819133,-38.47480247704425,5320,2506,2814,NA,NA,NA,NA,NA,NA,NA,NA,NA,369.69924812030075,-1.7133079335109187,456.1833688699361,-5.760094027590412,272.58579409417393,2.653227652285807,435374.0781954887,18287.189368881867,491758.1624022743,18031.869469412137,372060.1065442937,18389.491708910908,"北海道",0.8115411554634182,51742,1.90929889298893,0.00135531466673222,0.1176285770383858,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8115411554634182,0.1176285770383858,234.7,0.16901537432990377,0.7056196506259707,525,55.5,-10.666666666666666,2.2666666666666666,16.133333333333333,-23.5,-8.233333333333333,3.933333333333333,-10.033333333333331,-3.344444444444445,1250,99,-10.033333333333331,23.809523809523807,1.8857142857142857,-23.54032258064516,20.666666666666668,1.638095238095238
